city,temp,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,11.56,-34.4187,19.2345,11.56,62,90,7.05,ZA,1650050667
Severo-Kuril'sk,-2.92,50.6789,156.125,-2.92,79,34,2.39,RU,1650050638
Borogontsy,-16.01,62.6683,131.1683,-16.01,99,76,0.38,RU,1650050668
Clyde River,-16.87,70.4692,-68.5914,-16.87,66,0,4.12,CA,1650050669
Makubetsu,0.9,45.3714,141.8211,0.9,69,1,2.15,JP,1650050669
Cape Town,15.01,-33.9258,18.4232,15.62,62,0,9.26,ZA,1650050491
Chui,19.95,-33.6971,-53.4616,19.95,57,62,4.49,UY,1650050669
Pryamitsyno,8.3,51.6561,35.9314,8.3,66,100,3.17,RU,1650050670
Homer,3.86,59.6425,-151.5483,3.94,60,100,6.26,US,1650050670
Mount Isa,20.87,-20.7333,139.5,20.87,46,5,3.09,AU,1650050671
Arraial do Cabo,23.92,-22.9661,-42.0278,23.98,57,40,9.26,BR,1650050671
Geraldton,16.23,-28.7667,114.6,16.23,94,0,0.0,AU,1650050671
San Patricio,26.46,28.017,-97.5169,28.05,66,99,7.2,US,1650050672
Nuuk,-6.18,64.1835,-51.7216,-6.18,62,18,11.62,GL,1650050672
Sorong,27.07,-0.8833,131.25,27.07,82,100,4.55,ID,1650050673
Lashma,5.17,54.9321,41.1438,5.17,67,98,0.8,RU,1650050673
Hamilton,21.34,39.1834,-84.5333,22.03,23,0,9.26,US,1650050096
East London,16.94,-33.0153,27.9116,16.94,67,100,7.72,ZA,1650050650
Acajutla,30.92,13.5928,-89.8275,30.92,58,80,4.49,SV,1650050674
Altamira,31.05,-3.2033,-52.2064,31.05,70,40,1.54,BR,1650050674
Hithadhoo,28.47,-0.6,73.0833,28.47,66,74,0.84,MV,1650050675
Esperance,13.91,-33.8667,121.9,13.91,77,3,5.25,AU,1650050609
Manjacaze,21.72,-24.7117,33.8828,21.72,94,100,2.35,MZ,1650050675
Saint-Philippe,24.19,-21.3585,55.7679,24.77,85,43,6.33,RE,1650050676
Port Elizabeth,14.95,-33.918,25.5701,15.73,67,75,1.54,ZA,1650050676
Saint Paul Harbor,3.73,57.79,-152.4072,3.73,87,100,4.12,US,1650050676
Ergani,10.0,38.2653,39.7621,10.0,52,35,3.5,TR,1650050677
Kapaa,24.7,22.0752,-159.319,25.99,77,75,8.23,US,1650050677
Pevek,-14.17,69.7008,170.3133,-14.17,93,40,0.9,RU,1650050677
Barrow,-17.99,71.2906,-156.7887,-17.99,71,0,11.32,US,1650050402
Punta Arenas,10.06,-53.15,-70.9167,10.06,81,75,8.23,CL,1650050678
Tasiilaq,3.09,65.6145,-37.6368,3.09,95,100,4.44,GL,1650050678
Bambous Virieux,24.14,-20.3428,57.7575,24.14,88,75,5.14,MU,1650050679
Upernavik,-20.14,72.7868,-56.1549,-20.14,90,14,5.29,GL,1650050679
Mount Gambier,15.95,-37.8333,140.7667,15.95,94,100,2.57,AU,1650050679
Moose Factory,2.99,51.2585,-80.6094,5.0,70,100,5.66,CA,1650050680
Celestún,30.85,20.8667,-90.4,30.85,59,31,4.66,MX,1650050680
Fairbanks,-0.36,64.8378,-147.7164,1.12,45,0,6.17,US,1650050680
Ippy,23.55,6.2679,21.2247,23.55,84,100,1.63,CF,1650050681
Constitución,15.81,-35.3333,-72.4167,15.81,66,2,2.8,CL,1650050681
Shache,22.06,38.4167,77.2406,22.06,21,36,2.61,CN,1650050682
Mehamn,1.89,71.0357,27.8492,1.89,98,100,12.42,NO,1650050682
Mahébourg,24.16,-20.4081,57.7,24.16,88,75,5.14,MU,1650050683
Ascension,25.3,30.2169,-90.9001,26.0,80,100,4.12,US,1650050684
Troitskoye,7.32,52.9821,84.6757,7.32,55,0,1.53,RU,1650050685
Baruun-Urt,1.86,46.6806,113.2792,1.86,38,0,3.78,MN,1650050685
Avera,24.51,33.194,-82.5271,25.86,32,3,4.86,US,1650050686
Upington,15.21,-28.4478,21.2561,15.21,55,3,1.54,ZA,1650050687
Port Lincoln,18.75,-34.7333,135.8667,18.75,83,0,4.26,AU,1650050688
Cidreira,19.93,-30.1811,-50.2056,19.93,57,40,4.29,BR,1650050690
Ushuaia,9.81,-54.8,-68.3,9.81,71,40,8.75,AR,1650050602
Dikson,-7.57,73.5069,80.5464,-7.57,95,100,4.87,RU,1650050693
Hofn,7.74,64.2539,-15.2082,7.74,94,59,1.21,IS,1650050694
Jamestown,13.7,42.097,-79.2353,15.85,35,75,4.63,US,1650050108
Severnyy,13.02,50.677,36.5532,13.02,44,0,2.0,RU,1650050694
Bubaque,23.62,11.2833,-15.8333,23.62,75,6,8.01,GW,1650050583
Hasaki,8.22,35.7333,140.8333,8.22,89,100,14.3,JP,1650050695
Price,15.59,39.5994,-110.8107,15.62,20,0,7.72,US,1650050695
Meulaboh,25.3,4.1363,96.1285,25.3,88,87,1.51,ID,1650050696
Tuatapere,12.0,-46.1333,167.6833,12.0,86,100,6.09,NZ,1650050696
São Filipe,21.63,14.8961,-24.4956,21.63,77,16,3.12,CV,1650050697
Narsaq,0.12,60.9167,-46.05,0.12,57,74,0.98,GL,1650050697
Bilibino,-12.44,68.0546,166.4372,-12.44,92,100,1.58,RU,1650050697
Progreso,36.17,21.2833,-89.6667,36.17,54,27,6.64,MX,1650050698
Kavieng,27.13,-2.5744,150.7967,27.13,81,64,4.0,PG,1650050698
Pemangkat,26.08,1.1667,108.9667,26.08,82,98,1.02,ID,1650050699
Lebu,15.05,-37.6167,-73.65,15.05,70,9,5.25,CL,1650050699
Tuntum,29.08,-5.2581,-44.6489,29.08,76,40,1.15,BR,1650050699
Waverley,16.12,-25.7023,28.2591,18.63,66,0,0.51,ZA,1650050700
Carnarvon,23.04,-24.8667,113.6333,23.04,68,55,3.09,AU,1650050700
Butaritari,27.14,3.0707,172.7902,27.14,74,90,4.2,KI,1650050700
Gijang,8.85,35.2442,129.2139,8.85,59,93,4.87,KR,1650050701
Nanortalik,-2.83,60.1432,-45.2371,-2.83,67,84,2.69,GL,1650050701
Kiryat Gat,16.55,31.61,34.7642,19.11,67,100,2.83,IL,1650050702
Nsoko,23.59,-27.0333,31.95,23.59,85,57,6.46,SZ,1650050703
Touros,29.11,-5.1989,-35.4608,29.11,69,20,4.99,BR,1650050703
Saint George,21.78,37.1041,-113.5841,22.46,16,0,3.09,US,1650050604
Castro,18.32,-24.7911,-50.0119,18.32,47,0,3.06,BR,1650050703
Longyearbyen,-1.09,78.2186,15.6401,-1.09,64,75,4.12,SJ,1650050704
Vardø,0.06,70.3705,31.1107,0.06,97,100,4.69,NO,1650050705
Kaitangata,14.07,-46.2817,169.8464,14.07,75,23,6.83,NZ,1650050705
Mar del Plata,20.06,-38.0023,-57.5575,21.16,82,0,7.6,AR,1650050706
Arman',-7.44,59.7,150.1667,-7.44,83,100,2.92,RU,1650050706
Atuona,25.91,-9.8,-139.0333,25.91,78,19,6.95,PF,1650050458
Wilmington,21.32,34.2257,-77.9447,23.86,40,0,5.14,US,1650050707
Angoche,26.82,-16.2325,39.9086,26.82,77,0,3.32,MZ,1650050707
La Rioja,14.88,42.25,-2.5,14.88,83,10,1.57,ES,1650050454
Ritchie,15.56,-29.038,24.6028,15.56,59,100,9.72,ZA,1650050708
Chokurdakh,-14.53,70.6333,147.9167,-14.53,97,100,1.42,RU,1650050708
Kruisfontein,12.71,-34.0033,24.7314,12.71,59,100,3.64,ZA,1650050709
Buala,24.86,-8.145,159.5921,24.86,88,100,0.43,SB,1650050709
Kavaratti,28.41,10.5669,72.642,28.41,73,43,1.04,IN,1650050709
Merrill,-1.09,45.1805,-89.6835,-0.13,50,0,8.23,US,1650050675
Champerico,36.3,14.3,-91.9167,36.3,61,16,5.9,GT,1650050710
Puerto Ayacucho,29.86,5.6639,-67.6236,29.86,60,99,1.87,VE,1650050710
Lenoir,23.11,35.2335,-77.6497,24.52,21,0,3.6,US,1650050711
Mayumba,25.91,-3.432,10.6554,25.91,86,100,2.97,GA,1650050711
Port Hedland,27.03,-20.3167,118.5667,27.03,78,14,3.6,AU,1650050712
Beloha,25.81,-25.1667,45.05,25.81,72,88,2.0,MG,1650050712
Mercedes,20.47,-34.6515,-59.4307,21.13,33,0,3.29,AR,1650050713
Lompoc,18.17,34.6391,-120.4579,22.79,63,0,9.39,US,1650050713
Colares,18.96,38.7992,-9.4469,20.82,65,20,5.14,PT,1650050714
Sabang,28.62,5.8933,95.3214,28.62,72,95,2.05,ID,1650050714
Mogadishu,28.1,2.0371,45.3438,28.1,75,16,5.26,SO,1650050715
Evensk,-4.97,61.95,159.2333,-4.97,95,100,2.7,RU,1650050716
Katsuura,10.32,35.1333,140.3,10.32,89,100,11.2,JP,1650050716
Kazlų Rūda,4.99,54.7667,23.5,4.99,85,100,6.61,LT,1650050716
Ponta do Sol,19.05,32.6667,-17.1,19.84,75,100,1.52,PT,1650050717
George Town,27.97,5.4112,100.3354,27.97,89,20,1.03,MY,1650050542
Sept-Îles,2.24,50.2001,-66.3821,2.25,95,100,4.63,CA,1650050717
Lavrentiya,-1.29,65.5833,-171.0,-1.29,87,100,8.27,RU,1650050718
Pisco,23.03,-13.7,-76.2167,23.03,64,0,9.77,PE,1650050718
Okha,-5.9,53.5739,142.9478,-5.9,90,27,3.43,RU,1650050719
Palmer,18.5,42.1584,-72.3287,19.87,18,20,3.6,US,1650050719
Kilrush,14.86,52.6397,-9.4833,14.86,78,8,1.1,IE,1650050720
Yar-Sale,-9.4,66.8333,70.8333,-9.4,91,100,2.55,RU,1650050720
Krasnyy Yar,10.96,46.5331,48.3456,10.96,67,100,2.18,RU,1650050720
Dzhebariki-Khaya,-20.15,62.2167,135.8,-20.15,99,40,0.95,RU,1650050721
Manokwari,25.64,-0.8667,134.0833,25.64,78,98,1.22,ID,1650050721
Khatanga,-9.66,71.9667,102.5,-9.66,84,100,6.9,RU,1650050722
Quzhou,12.82,28.9594,118.8686,12.82,74,100,3.75,CN,1650050722
Sassandra,27.28,4.95,-6.0833,27.28,80,100,3.65,CI,1650050722
Qui Nhon,25.06,13.7667,109.2333,25.06,93,25,1.71,VN,1650050723
Ixtapa,25.57,20.7,-105.2,25.57,73,75,5.66,MX,1650050184
Ancud,16.24,-41.8697,-73.8203,16.24,78,40,1.93,CL,1650050723
Guerrero Negro,19.16,27.9769,-114.0611,19.16,56,100,7.68,MX,1650050724
Saint-Leu,23.22,-21.15,55.2833,24.48,77,71,2.26,RE,1650050724
Haines Junction,0.97,60.7522,-137.5108,0.97,32,3,1.03,CA,1650050724
Bud,19.93,39.447,-86.1758,21.01,26,100,7.73,US,1650050725
Guadalupe Victoria,24.04,32.2869,-115.105,24.04,10,90,1.35,MX,1650050725
Provideniya,0.19,64.3833,-173.3,0.19,96,100,9.6,RU,1650050726
Aklavik,-17.94,68.2191,-135.0107,-17.94,86,93,1.1,CA,1650050727
Sur,31.67,22.5667,59.5289,31.67,35,3,5.0,OM,1650050728
Saskylakh,-28.47,71.9167,114.0833,-28.47,100,89,2.48,RU,1650050728
Mubi,29.04,10.2676,13.2644,29.04,42,95,3.29,NG,1650050729
Gold Coast,17.73,-28.0,153.4333,18.91,87,40,4.12,AU,1650050634
Şile,11.98,41.1754,29.6133,15.37,54,0,3.56,TR,1650050729
Oranjemund,13.77,-28.55,16.4333,13.77,82,0,8.18,NA,1650050729
Hyères,18.52,43.1167,6.1167,20.36,36,0,1.03,FR,1650050730
Nālūt,20.89,30.3333,10.85,20.89,22,1,2.7,LY,1650050731
Hue,25.06,16.4667,107.6,25.06,94,20,1.03,VN,1650050734
Effingham County,24.51,32.3669,-81.3332,26.25,32,0,4.4,US,1650050734
Agirish,-0.86,61.9247,63.0231,-0.86,96,97,2.95,RU,1650050511
Santa Luzia,26.42,-19.7697,-43.8514,27.5,56,40,3.09,BR,1650050735
Weyburn,-7.88,49.6668,-103.8511,-7.88,67,100,8.75,CA,1650050735
Seoul,5.74,37.5683,126.9778,9.69,75,0,2.06,KR,1650050474
Coari,28.32,-4.085,-63.1414,28.32,84,89,0.74,BR,1650050736
Kostomuksha,-3.35,64.571,30.5767,-3.35,94,24,0.94,RU,1650050448
Yellowknife,-6.81,62.456,-114.3525,-6.71,53,75,4.63,CA,1650050461
Gatesville,27.47,31.4352,-97.7439,29.64,57,40,6.17,US,1650050736
Cockburn Town,26.98,21.4612,-71.1419,26.98,69,40,5.14,TC,1650050737
Srednekolymsk,-16.9,67.45,153.6833,-16.9,100,98,1.79,RU,1650050737
Goderich,8.18,43.7501,-81.7165,8.28,61,100,13.38,CA,1650050738
Nemuro,0.83,43.3236,145.575,0.83,92,100,8.39,JP,1650050738
Laguna,18.27,38.421,-121.4238,19.68,60,0,4.12,US,1650050447
Talnakh,-2.4,69.4865,88.3972,-2.4,91,89,3.99,RU,1650050739
La Providencia,30.88,28.7167,-111.5833,32.89,17,100,4.5,MX,1650050739
Tateyama,10.05,34.9833,139.8667,10.05,85,100,8.89,JP,1650050739
Mandalgovi,-0.68,45.7625,106.2708,-0.68,50,69,1.32,MN,1650050740
Gasan,26.46,13.3237,121.8467,26.46,80,91,1.68,PH,1650050740
Lesosibirsk,1.55,58.2358,92.4828,1.55,98,94,1.49,RU,1650050741
Sola,27.29,-13.8833,167.55,27.29,72,100,1.21,VU,1650050741
Churapcha,-15.77,62.0025,132.4325,-15.77,98,69,1.99,RU,1650050742
Corner Brook,11.09,48.9667,-57.9484,11.09,62,62,3.85,CA,1650050601
Chabahar,27.61,25.2919,60.643,27.61,70,0,3.8,IR,1650050471
Kudahuvadhoo,28.96,2.6708,72.8944,28.96,69,36,2.02,MV,1650050742
Kyzyl-Suu,7.93,42.3414,78.0056,7.93,52,0,3.18,KG,1650050743
Kiama,14.98,-34.6833,150.8667,15.7,89,100,0.45,AU,1650050743
Mezen',-5.44,65.8522,44.24,-5.44,97,21,1.57,RU,1650050744
Rio Grande,21.64,-32.035,-52.0986,23.06,57,16,5.26,BR,1650050744
Mahajanga,24.01,-15.7167,46.3167,24.01,94,20,0.0,MG,1650050745
San Miguel de Tucumán,20.0,-26.8241,-65.2226,20.0,60,75,6.17,AR,1650050745
Leningradskiy,-11.45,69.3833,178.4167,-11.45,94,100,4.19,RU,1650050745
Chernihiv,12.63,51.0,32.0,12.63,64,100,6.35,UA,1650050746
Hualmay,22.18,-11.0964,-77.6139,22.18,71,16,5.94,PE,1650050746
Maralal,18.27,1.0968,36.698,18.27,62,94,5.33,KE,1650050747
Lorengau,27.28,-2.0226,147.2712,27.28,78,89,1.78,PG,1650050747
Labuhan,26.04,-6.8844,112.2051,26.04,84,100,2.03,ID,1650050748
Slobodskoy,-1.66,58.7322,50.1772,-1.66,95,99,4.42,RU,1650050748
Vanimo,25.27,-2.6741,141.3028,25.27,88,32,1.79,PG,1650050749
Polunochnoye,-1.56,60.8697,60.4153,-1.56,97,100,2.14,RU,1650050749
Najrān,27.36,17.4924,44.1277,27.36,23,0,1.83,SA,1650050750
São João da Barra,24.05,-21.6403,-41.0511,24.05,58,100,10.63,BR,1650050750
Hobyo,28.46,5.3505,48.5268,28.46,70,71,5.9,SO,1650050751
Gaoual,36.39,11.75,-13.2,36.39,15,6,2.16,GN,1650050751
Kirkkonummi,2.44,60.1238,24.4385,3.95,79,10,3.85,FI,1650050752
Hearst,1.14,49.6835,-83.6665,1.14,75,100,5.4,CA,1650050752
Hervey Bay,20.2,-25.2986,152.8535,20.2,73,8,6.13,AU,1650050752
Vitim,-13.89,59.4511,112.5578,-13.89,98,57,0.43,RU,1650050753
Naantali,4.07,60.4674,22.0243,4.23,52,0,1.54,FI,1650050753
Airai,15.88,-8.9266,125.4092,15.88,92,100,1.08,TL,1650050754
Nikolskoye,3.98,59.7035,30.7861,4.37,94,95,4.08,RU,1650050754
Chernyshevskiy,-22.08,63.0128,112.4714,-22.08,100,49,1.16,RU,1650050754
Vila,14.83,42.0304,-8.1588,14.83,61,99,0.92,PT,1650050755
Zhigansk,-16.44,66.7697,123.3711,-16.44,96,51,4.99,RU,1650050755
Pangnirtung,-18.0,66.1451,-65.7125,-18.0,71,0,0.0,CA,1650050756
Treinta y Tres,20.41,-33.2333,-54.3833,20.41,55,100,0.73,UY,1650050756
Andra,0.7,62.5147,65.8878,0.7,98,100,3.98,RU,1650050756
Beidao,5.18,34.5686,105.8933,5.18,85,100,1.25,CN,1650050757
Quatre Cocos,22.83,-20.2078,57.7625,24.06,80,58,9.04,MU,1650050757
Yambio,19.58,4.5721,28.3955,19.58,96,100,1.8,SS,1650050758
Dauriya,2.09,49.9333,116.8667,2.09,64,92,4.81,RU,1650050759
Aswān,30.61,24.0934,32.907,30.61,11,0,3.6,EG,1650050759
Margate,9.07,51.3813,1.3862,12.84,86,6,0.89,GB,1650050590
Saldanha,15.03,-33.0117,17.9442,15.03,57,6,8.21,ZA,1650050759
Alofi,24.94,-19.0595,-169.9187,24.94,94,65,0.51,NU,1650050610
Le Port,22.62,-20.9373,55.2919,25.0,79,42,2.77,RE,1650050760
Niltepec,37.54,16.5667,-94.6167,37.54,33,12,3.29,MX,1650050760
Dingle,24.31,10.9995,122.6711,24.31,90,73,1.32,PH,1650050540
Mossamedes,22.3,-15.1961,12.1522,22.3,75,100,3.66,AO,1650050761
Fortuna,10.59,40.5982,-124.1573,11.63,62,20,2.57,US,1650050761
Gannan,6.93,47.9147,123.5031,6.93,41,0,5.63,CN,1650050762
Belyy Yar,-0.06,53.6039,91.3903,-0.06,40,72,0.0,RU,1650050762
Cotonou,28.99,6.3654,2.4183,28.99,79,20,4.63,BJ,1650050762
Zaraza,34.31,9.3503,-65.3245,34.31,33,100,2.58,VE,1650050763
Lüderitz,15.66,-26.6481,15.1594,15.66,68,0,10.23,NA,1650050763
Sørland,4.02,67.667,12.6934,4.02,66,100,7.16,NO,1650050534
Tsaratanana,24.71,-16.7833,47.65,24.71,75,39,5.54,MG,1650050764
Sompeta,27.85,18.9333,84.6,27.85,77,93,5.94,IN,1650050764
Sangar,-15.49,63.9242,127.4739,-15.49,94,86,0.55,RU,1650050765
Salta,17.54,-24.7859,-65.4117,18.33,70,40,3.09,AR,1650050765
San Roque,16.46,36.2107,-5.3842,16.46,88,40,3.09,ES,1650050766
Bukene,21.55,-4.2333,32.8833,21.55,69,100,1.9,TZ,1650050766
Cayenne,28.38,4.9333,-52.3333,29.02,1,20,6.17,GF,1650050584
Ostrovnoy,-4.41,68.0531,39.5131,-4.41,97,89,3.0,RU,1650050767
Imeni Poliny Osipenko,-2.39,52.4201,136.4853,-2.39,91,100,1.59,RU,1650050767
Noumea,23.89,-22.2763,166.4572,23.89,99,72,2.31,NC,1650050768
Faanui,27.55,-16.4833,-151.75,27.55,72,4,8.35,PF,1650050768
Vila Velha,24.41,-20.3297,-40.2925,25.97,70,75,8.23,BR,1650050529
Goālpāra,26.46,26.1667,90.6167,26.46,78,93,0.51,IN,1650050769
Bethel,19.13,41.3712,-73.414,20.76,22,0,5.14,US,1650050536
Port Blair,26.02,11.6667,92.75,26.02,89,20,1.03,IN,1650050769
Derzhavīnsk,15.92,51.1,66.3167,15.92,41,100,6.09,KZ,1650050770
Tiksi,-21.2,71.6872,128.8694,-21.2,100,100,2.03,RU,1650050770
Te Anau,13.55,-45.4167,167.7167,13.55,92,100,3.62,NZ,1650050771
Los Llanos de Aridane,17.85,28.6585,-17.9182,17.85,82,0,7.2,ES,1650050771
Dapaong,27.13,10.8639,0.205,27.13,57,100,6.14,TG,1650050772
Havelock,21.17,34.8791,-76.9013,23.88,32,0,6.69,US,1650050565
Sabha,27.66,27.0377,14.4283,27.66,14,0,4.49,LY,1650050772
Mountain Home,6.71,43.133,-115.6912,6.71,100,75,0.0,US,1650050773
Okhotsk,-13.68,59.3833,143.3,-13.68,93,51,2.94,RU,1650050773
Westport,19.12,41.1415,-73.3579,21.82,24,0,7.72,US,1650050774
Vostok,-3.93,46.4856,135.8833,-3.93,81,90,2.23,RU,1650050774
Marsaxlokk,14.34,35.8419,14.5431,15.04,88,20,7.72,MT,1650050775
Doka,34.62,13.5167,35.7667,34.62,22,88,1.19,SD,1650050775
Melilla,18.21,35.2937,-2.9383,18.21,48,0,1.03,ES,1650050776
Mollendo,20.88,-17.0231,-72.0147,20.88,75,83,4.96,PE,1650050776
Keti Bandar,26.98,24.1447,67.4497,26.98,79,0,5.1,PK,1650050777
Salalah,27.05,17.0151,54.0924,27.05,83,75,1.54,OM,1650050777
Tanout,30.25,14.9709,8.8879,30.25,36,80,7.04,NE,1650050778
Māngrol,26.6,21.1167,70.1167,26.6,74,0,3.63,IN,1650050521
Kismayo,28.09,-0.3582,42.5454,28.09,81,67,4.56,SO,1650050778
Maués,27.34,-3.3836,-57.7186,27.34,92,100,2.09,BR,1650050591
Hambantota,27.34,6.1241,81.1185,27.34,81,15,3.33,LK,1650050779
Plettenberg Bay,14.73,-34.0527,23.3716,14.73,69,100,2.16,ZA,1650050485
Guilin,13.06,25.2819,110.2864,13.06,89,100,3.61,CN,1650050779
Santa Isabel Rio Negro,24.04,-0.4139,-65.0192,24.04,99,100,0.19,BR,1650050780
Souillac,24.21,-20.5167,57.5167,24.21,88,75,5.14,MU,1650050780
Bandarbeyla,27.87,9.4942,50.8122,27.87,83,100,4.87,SO,1650050780
Marijampolė,4.52,54.5667,23.35,4.52,88,100,6.59,LT,1650050781
San Vicente,20.46,-26.6167,-54.1333,20.46,35,0,2.35,AR,1650050781
Mórrope,24.06,-6.5417,-80.0111,24.06,59,92,9.05,PE,1650050782
Capinópolis,28.42,-18.6819,-49.5697,28.42,46,6,3.89,BR,1650050782
Klaksvík,9.51,62.2266,-6.589,9.51,98,100,6.3,FO,1650050782
Bonthe,26.82,7.5264,-12.505,26.82,75,11,4.24,SL,1650050783
Zverinogolovskoye,12.29,54.4586,64.8542,12.29,57,42,3.74,RU,1650050783
Pochutla,33.79,15.7432,-96.4661,33.79,42,88,4.37,MX,1650050783
Kenosha,8.31,42.5667,-88.0501,10.48,31,100,7.72,US,1650050784
Shelburne,9.57,44.0787,-80.2041,11.06,51,55,12.85,CA,1650050784
Deputatsky,-17.55,69.3,139.9,-17.55,86,100,0.87,RU,1650050785
Wau,27.0,7.7029,27.9953,27.0,59,100,3.19,SS,1650050785
Codrington,15.66,-38.2667,141.9667,15.66,93,99,1.52,AU,1650050785
Galle,27.34,6.0367,80.217,27.34,79,5,1.44,LK,1650050786
Morgantown,20.75,39.6295,-79.9559,21.86,17,0,7.2,US,1650050782
Kulhudhuffushi,29.1,6.6221,73.07,29.1,72,21,3.56,MV,1650050787
Kirksville,8.97,40.1948,-92.5833,9.76,43,100,5.14,US,1650050788
Guozhen,6.82,34.3659,107.359,6.82,96,100,1.24,CN,1650050789
Fengrun,8.39,39.8333,118.1167,8.39,32,0,3.24,CN,1650050789
Olafsvik,7.83,64.8945,-23.7142,7.83,87,100,13.23,IS,1650050790
Coahuayana Viejo,32.43,18.7333,-103.6833,32.43,36,100,3.39,MX,1650050791
Cabo San Lucas,28.2,22.8909,-109.9124,30.34,29,20,1.54,MX,1650050793
Viedma,23.53,-40.8135,-62.9967,23.53,29,0,9.23,AR,1650050794
Chisindia,12.91,46.2833,22.1,12.91,72,100,1.75,RO,1650050794
Yokadouma,22.39,3.5167,15.05,22.39,85,9,1.17,CM,1650050794
Prado,25.19,-17.3411,-39.2208,25.19,89,94,7.94,BR,1650050795
Khovd,-0.03,48.0056,91.6419,-0.03,35,0,2.89,MN,1650050795
Yilan,18.81,24.757,121.753,19.09,99,96,1.38,TW,1650050796
Santiago del Estero,22.97,-27.7951,-64.2615,22.97,37,0,3.49,AR,1650050796
Nizwá,31.39,22.9333,57.5333,31.39,15,63,2.72,OM,1650050797
Batemans Bay,16.72,-35.7167,150.1833,16.72,80,100,1.69,AU,1650050565
Xichang,11.95,27.8964,102.2634,11.95,87,88,1.98,CN,1650050797
Mildura,13.98,-34.2,142.15,13.98,67,3,0.0,AU,1650050798
Soyo,26.01,-6.1349,12.3689,26.01,87,100,0.54,AO,1650050798
Olonets,2.29,60.9847,32.9698,2.29,86,99,4.6,RU,1650050798
Chalāla,28.27,21.4167,71.1667,28.27,44,0,4.73,IN,1650050799
Todos Santos,21.48,23.45,-110.2167,21.48,78,20,3.4,MX,1650050799
Portland,8.24,45.5234,-122.6762,10.46,69,75,2.06,US,1650050204
Virginia Beach,19.5,36.8529,-75.978,21.7,34,40,5.14,US,1650050643
Ribeira Grande,16.22,38.5167,-28.7,16.22,72,75,5.66,PT,1650050800
Samarai,27.52,-10.6167,150.6667,27.52,76,100,3.73,PG,1650050800
Nago,20.25,26.5881,127.9761,20.47,68,93,7.42,JP,1650050801
Taber,-4.0,49.8167,-112.1518,-3.53,74,100,1.54,CA,1650050523
Utete,23.35,-7.986,38.758,23.35,98,100,1.42,TZ,1650050801
Dabwāli,28.41,29.95,74.7333,28.41,17,0,3.53,IN,1650050802
